"Record Length",1000000,"Points",-5.02980000e-005,2.00000021e-002
"Sample Interval",1.00000000e-010,s,-5.02979000e-005,1.43125020e-002
"Trigger Point",502980,"Samples",-5.02978000e-005,8.00000191e-003
"Trigger Time",2.67010352e-011,s,-5.02977000e-005,6.01562688e-003
"",,,-5.02976000e-005,8.00000191e-003
"Horizontal Offset",-5.02980000e-005,s,-5.02975000e-005,1.05781269e-002
,,,-5.02974000e-005,1.20000020e-002
,,,-5.02973000e-005,1.23125020e-002
,,,-5.02972000e-005,1.20000020e-002
,,,-5.02971000e-005,1.15625020e-002
