"Record Length",1000000,"Points",-5.02980000e-005,4.46874753e-003
"Sample Interval",1.00000000e-010,s,-5.02979000e-005,3.99999753e-003
"Trigger Point",502980,"Samples",-5.02978000e-005,2.92187251e-003
"Trigger Time",7.65619575e-011,s,-5.02977000e-005,1.99999750e-003
"",,,-5.02976000e-005,1.75780999e-003
"Horizontal Offset",-5.02980000e-005,s,-5.02975000e-005,1.99999750e-003
,,,-5.02974000e-005,2.64843501e-003
,,,-5.02973000e-005,3.99999753e-003
,,,-5.02972000e-005,5.56249755e-003
,,,-5.02971000e-005,5.99999756e-003
